Iteration,temps total,temps attente agv2,stock max warehouse
245,6120.45,96.56,1
246,6107.29,93.91,1
247,6107.01,87.57,1
248,6091.69,83.22,1
249,6148.28,96.18,1
250,6132.86,86.55,1
251,6103.32,85.36,1
252,6156.38,95.68,1
253,6149.07,96.07,1
254,6167.17,95.16,1
255,6106.82,82.27,1
256,6075.13,86.62,1
257,6119.96,88.58,1
258,6131.99,96.14,1
259,6121.73,90.99,1
260,6149.84,91.88,1
261,6158.66,91.81,1
262,6133.06,93.10,1
263,6058.55,88.91,1
264,6119.29,94.58,1
265,6159.38,93.18,1
266,6119.44,88.31,1
267,6070.17,88.91,1
268,6141.12,91.08,1
269,6068.56,89.73,1
270,6110.19,88.24,1
271,6106.30,89.18,1
272,6067.62,81.13,1
273,6117.01,89.21,1
274,6111.81,91.60,1
275,6153.21,89.36,1
276,6117.69,94.85,1
277,6108.27,95.56,1
278,6145.92,86.78,1
279,6099.40,87.75,1
280,6135.74,90.56,1
281,6141.86,99.70,1
282,6153.68,93.34,1
283,6125.85,87.38,1
284,6118.89,95.59,1
285,6154.52,93.10,1
286,6126.53,89.34,1
287,6057.02,93.43,1
288,6140.97,88.68,1
289,6088.26,88.39,1
290,6077.54,93.56,1
291,6086.26,88.23,1
292,6162.85,96.74,1
293,6172.33,96.82,1
294,6105.88,93.70,1
295,6122.63,82.91,1
296,6085.20,89.08,1
297,6108.47,87.20,1
298,6148.27,96.35,1
299,6129.96,92.49,1
300,6119.45,95.72,1
301,6057.02,87.04,1
302,6128.78,94.69,1
303,6084.29,86.41,1
304,6101.01,87.15,1
305,6066.08,92.19,1
306,6158.49,95.09,1
307,6153.26,92.60,1
308,6055.03,86.42,1
309,6151.49,94.97,1
310,6083.85,90.41,1
311,6103.90,86.17,1
312,6134.32,88.52,1
313,6100.25,90.62,1
314,6072.49,94.18,1
315,6134.30,87.72,1
316,6089.14,95.14,1
317,6092.24,97.49,1
318,6111.29,97.84,1
319,6101.82,92.85,1
320,6127.02,94.32,1
321,6139.38,92.40,1
322,6100.61,95.06,1
323,6086.78,91.23,1
324,6137.33,87.43,1
325,6105.94,81.03,1
326,6108.91,90.16,1
327,6157.80,88.92,1
328,6074.44,82.60,1
329,6100.55,91.92,1
330,6100.50,92.55,1
331,6120.21,93.98,1
332,6107.84,95.84,1
333,6098.44,88.91,1
334,6135.98,93.41,1
335,6090.78,92.27,1
336,6166.00,92.08,1
337,6104.22,90.68,1
338,6098.09,91.66,1
339,6086.99,93.64,1
340,6124.12,90.62,1
341,6158.50,85.37,1
342,6167.27,88.13,1
343,6161.29,93.63,1
344,6135.48,92.92,1
345,6139.95,94.84,1
346,6101.77,89.94,1
347,6071.64,84.02,1
348,6141.16,85.37,1
349,6100.22,86.58,1
350,6118.11,88.43,1
351,6128.79,86.79,1
352,6193.24,92.54,1
353,6136.81,96.08,1
354,6090.49,87.99,1
355,6123.21,92.03,1
356,6096.55,94.81,1
357,6153.41,91.24,1
358,6082.19,88.05,1
359,6094.93,87.17,1
360,6075.78,83.62,1
361,6134.87,91.27,1
362,6080.83,81.92,1
363,6119.64,91.28,1
364,6139.24,92.16,1
365,6076.77,89.75,1
366,6177.83,86.48,1
367,6079.33,95.60,1
368,6128.09,99.66,1
369,6134.35,92.56,1
370,6111.80,92.19,1
371,6073.47,93.50,1
372,6090.24,91.22,1
373,6119.50,86.14,1
374,6096.50,84.49,1
375,6129.65,94.94,1
376,6152.40,100.91,1
377,6092.10,87.29,1
378,6147.54,87.44,1
379,6170.29,92.37,1
380,6084.66,79.35,1
381,6119.06,90.34,1
382,6136.57,84.56,1
383,6160.79,88.69,1
384,6081.73,93.68,1
385,6121.20,83.97,1
386,6079.71,91.59,1
387,6152.52,93.65,1
388,6145.67,91.18,1
389,6052.98,88.79,1
390,6105.35,93.39,1
391,6078.01,85.62,1
392,6152.77,90.42,1
393,6090.39,88.58,1
394,6099.85,86.59,1
395,6034.29,94.92,1
396,6133.62,86.93,1
397,6090.70,88.78,1
398,6078.03,82.78,1
399,6107.07,83.88,1
400,6130.05,80.20,1
401,6136.11,89.33,1
402,6125.23,89.96,1
403,6095.63,83.92,1
404,6097.38,95.79,1
405,6107.81,92.66,1
406,6046.33,90.55,1
407,6150.94,84.84,1
408,6111.43,86.07,1
409,6150.09,96.53,1
410,6109.44,86.61,1
411,6144.24,91.25,1
412,6100.23,89.90,1
413,6106.08,89.63,1
414,6136.50,94.93,1
415,6110.67,91.27,1
416,6085.68,91.79,1
417,6071.36,88.31,1
418,6088.30,80.28,1
419,6105.48,89.82,1
420,6119.54,84.18,1
421,6079.72,90.11,1
422,6092.45,93.54,1
423,6088.38,93.99,1
424,6093.80,90.13,1
425,6183.69,93.81,1
426,6152.61,94.56,1
427,6104.61,93.98,1
428,6105.03,91.10,1
429,6150.03,92.91,1
430,6052.42,94.71,1
431,6106.75,93.32,1
432,6135.67,87.70,1
433,6154.09,85.64,1
434,6101.46,95.04,1
435,6085.07,96.18,1
436,6131.49,100.50,1
437,6075.44,94.59,1
438,6122.16,90.14,1
439,6073.58,89.07,1
440,6077.05,91.22,1
441,6113.42,94.53,1
442,6087.83,90.55,1
443,6092.05,98.68,1
444,6111.22,90.52,1
445,6132.19,86.12,1
446,6113.70,91.32,1
447,6130.24,90.20,1
448,6035.60,87.81,1
449,6062.68,85.20,1
450,6139.03,92.96,1
451,6071.72,88.08,1
452,6130.55,96.75,1
453,6184.70,92.75,1
454,6127.23,97.06,1
455,6089.60,92.97,1
456,6096.66,94.50,1
457,6153.83,92.99,1
458,6128.03,96.80,1
459,6127.15,91.33,1
460,6162.54,95.02,1
461,6070.89,86.56,1
462,6129.84,93.84,1
463,6224.39,86.31,1
464,6071.82,84.99,1
465,6098.58,89.53,1
466,6144.74,91.79,1
467,6105.03,98.47,1
468,6115.19,94.00,1
469,6103.27,95.06,1
470,6154.63,87.01,1
471,6171.62,88.84,1
472,6134.95,90.98,1
473,6110.24,88.49,1
474,6157.25,96.76,1
475,6108.62,83.39,1
476,6106.49,85.71,1
477,6143.39,85.10,1
478,6118.01,97.31,1
479,6149.44,95.86,1
480,6134.76,91.39,1
481,6144.18,88.24,1
482,6107.42,86.28,1
483,6145.26,90.65,1
484,6128.75,94.27,1
485,6100.65,88.80,1
486,6108.99,88.43,1
487,6150.04,84.70,1
488,6107.45,86.27,1
489,6120.22,92.36,1
490,6092.77,82.64,1
491,6089.55,88.67,1
492,6122.45,84.32,1
493,6093.70,96.83,1
494,6073.15,85.18,1
495,6122.36,91.87,1
496,6112.48,97.46,1
497,6097.04,90.44,1
498,6094.01,82.41,1
499,6124.66,91.23,1
500,6117.30,82.51,1
501,6169.69,92.42,1
502,6065.56,83.12,1
503,6133.72,90.80,1
504,6185.42,101.15,1
505,6122.77,84.16,1
506,6090.19,94.55,1
507,6112.27,91.09,1
508,6134.99,91.05,1
509,6128.99,85.72,1
510,6099.44,101.57,1
511,6103.72,96.32,1
512,6131.49,91.08,1
513,6143.06,91.91,1
514,6094.62,87.34,1
515,6099.57,85.86,1
516,6126.30,83.82,1
517,6097.76,91.28,1
518,6181.39,95.86,2
519,6141.36,92.35,1
520,6137.13,86.78,1
521,6164.47,88.56,1
522,6146.34,92.00,1
523,6112.89,94.42,1
524,6090.02,88.91,1
525,6101.21,80.90,1
526,6117.56,92.79,1
527,6139.10,86.96,1
528,6156.19,84.01,1
529,6140.00,91.96,1
530,6109.34,88.34,1
531,6145.38,95.75,1
532,6120.59,81.88,1
533,6065.76,82.98,1
534,6131.76,93.90,1
535,6108.12,96.66,1
536,6096.46,91.82,1
537,6073.73,88.79,1
538,6123.73,88.78,1
539,6111.17,84.19,1
540,6102.50,93.22,1
541,6159.11,84.53,1
542,6129.25,87.35,1
543,6136.81,89.04,1
544,6069.12,85.87,1
545,6110.37,90.47,1
546,6104.58,85.60,1
547,6140.36,89.26,1
548,6128.33,92.62,1
549,6097.29,96.44,1
550,6131.72,90.04,1
551,6082.68,99.94,1
552,6176.10,88.40,1
553,6153.37,92.47,1
554,6132.89,91.17,1
555,6127.19,88.46,1
556,6065.76,94.79,1
557,6146.68,91.41,1
558,6109.52,84.77,1
559,6162.27,87.51,1
560,6173.91,89.24,1
561,6129.87,93.80,1
562,6139.88,90.26,1
563,6147.23,97.39,1
564,6140.85,94.45,1
565,6093.22,86.82,1
566,6143.53,87.73,1
567,6103.97,96.65,1
568,6126.82,86.79,1
569,6132.26,91.38,1
